,1,2,3,4,5,6
758,2,5,9,13,26,29
759,6,16,20,25,26,27
760,1,8,20,25,33,37
761,1,12,13,29,32,36
762,2,3,5,8,23,29
763,13,16,19,22,25,31
764,2,11,21,22,26,32
765,2,14,16,18,32,37
766,4,11,12,26,28,29
767,3,9,13,16,22,34
768,12,18,20,21,29,35
769,4,16,21,23,24,27
770,4,16,19,25,29,37
771,1,6,12,14,36,37
772,4,5,9,12,16,29
773,9,20,22,23,24,29
774,3,8,17,20,22,30
775,1,9,10,21,24,32
776,9,11,14,16,27,37
777,14,20,23,25,26,35
778,5,11,18,20,30,35
779,9,15,17,25,27,32
780,5,9,19,21,22,34
781,11,14,22,26,27,33
782,1,10,11,12,18,19
783,5,7,10,13,24,33
784,7,13,14,28,29,35
785,1,4,16,26,28,37
786,3,11,12,15,21,26
787,12,13,15,20,21,32
788,4,6,18,26,29,34
789,3,4,5,27,30,36
790,1,2,32,34,36,37
791,1,3,15,27,31,35
792,6,8,9,14,16,17
793,1,25,34,35,36,37
794,7,26,28,30,31,34
795,2,12,20,28,30,33
796,10,13,16,24,27,37
797,1,9,15,20,23,28
798,5,10,13,17,25,36
799,4,6,15,24,31,37
800,6,14,18,26,29,36
801,1,2,5,16,24,34
802,7,12,18,22,32,36
803,3,7,10,21,33,35
804,11,12,18,19,32,37
805,2,12,21,23,28,31
806,7,11,19,25,28,37
807,12,14,16,29,32,37
808,5,6,9,12,26,34
809,1,20,23,24,26,32
810,8,9,21,22,26,37
811,5,8,17,31,32,37
812,1,5,7,18,25,36
813,4,6,14,22,28,29
814,8,12,15,24,28,33
815,3,5,6,13,26,29
816,2,4,14,19,20,33
817,13,17,20,26,35,37
818,5,6,10,20,26,29
819,1,9,20,25,27,31
820,5,22,25,33,35,36
821,2,6,8,14,29,34
822,12,13,20,25,27,30
823,2,5,6,14,22,32
824,3,7,12,22,27,36
825,7,13,19,32,35,37
826,2,7,10,18,24,26
827,5,8,11,20,29,36
828,4,8,16,20,21,36
829,3,15,26,28,32,33
830,1,10,11,13,18,25
831,6,10,14,15,26,36
832,9,16,22,27,31,32
833,6,9,17,26,27,36
834,7,15,17,18,20,32
835,1,5,14,21,27,30
836,5,19,23,25,30,31
837,1,2,7,8,9,26
838,7,15,17,19,27,30
839,3,18,19,22,24,26
840,6,10,25,31,35,37
841,2,5,21,29,34,37
842,8,14,16,20,24,30
843,2,13,14,19,21,30
844,2,10,14,15,21,29
845,1,4,11,19,30,32
846,1,13,19,22,34,35
847,8,9,11,12,13,22
848,17,18,25,28,30,34
849,5,16,18,23,24,26
850,6,19,24,25,26,37
851,1,8,13,27,32,37
852,1,4,5,16,21,29
853,3,12,14,24,32,34
854,3,15,17,20,21,37
855,1,13,15,30,31,32
856,4,7,13,16,17,27
857,14,21,27,31,32,35
858,2,11,13,17,25,27
859,1,11,13,25,27,29
860,3,6,9,10,17,36
861,4,9,10,12,13,29
862,6,10,15,18,27,34
863,4,17,18,23,25,28
864,2,9,18,23,29,33
865,7,19,27,29,34,35
866,6,8,21,25,30,35
867,7,9,14,21,26,34
868,3,5,6,19,23,35
869,10,17,18,22,24,29
870,3,4,10,11,30,32
871,18,19,29,34,35,36
872,10,12,19,25,26,36
873,14,20,22,26,31,37
874,2,20,26,27,28,30
875,9,13,15,20,25,36
876,1,6,9,10,12,17
877,2,3,13,21,22,31
878,1,6,15,17,20,32
879,5,6,16,17,20,22
880,2,8,12,14,17,21
881,9,17,23,28,30,36
882,12,15,18,20,23,29
883,5,6,8,11,20,27
884,5,12,13,33,35,36
885,1,8,11,23,30,35
886,11,14,18,20,22,33
887,6,9,15,23,24,28
888,19,21,22,24,30,37
889,5,6,10,15,28,29
890,10,18,22,27,31,35
891,5,7,8,15,19,26
892,1,8,11,17,25,30
893,16,17,18,20,28,35
894,4,7,12,14,17,34
895,3,7,14,24,27,28
896,5,8,16,21,34,35
897,2,6,17,29,31,35
898,13,21,22,26,29,34
899,5,7,9,17,19,29
900,24,27,30,34,35,37
901,7,9,16,23,29,30
902,16,21,27,28,32,37
903,2,3,11,18,25,27
904,2,16,21,26,33,34
905,5,15,22,23,25,29
906,1,6,9,13,23,35
907,2,14,22,23,25,28
908,11,13,20,29,30,37
909,2,6,13,16,27,33
910,8,11,18,21,24,30
911,3,5,7,13,17,28
912,17,18,20,21,26,32
913,3,4,14,18,32,35
914,3,8,10,12,28,37
915,4,6,8,18,27,37
916,4,17,18,24,27,36
917,6,8,11,23,32,35
918,2,5,10,12,18,26
919,4,11,18,22,29,31
920,15,18,22,23,26,34
921,6,8,18,22,29,37
922,1,13,23,24,30,31
923,5,16,22,23,24,33
924,6,10,12,15,27,33
925,1,3,8,12,19,30
926,6,9,18,23,26,33
927,1,15,17,31,32,34
928,1,11,13,15,18,25
929,11,12,18,24,31,33
930,1,2,4,9,12,16
931,2,9,11,13,29,33
932,11,12,15,22,23,29
933,7,32,33,34,35,36
934,5,13,16,18,23,26
935,5,13,21,22,25,28
936,2,3,5,10,26,27
937,11,15,17,27,33,37
938,11,15,22,29,35,37
939,14,15,18,22,23,29
940,6,10,15,19,36,37
941,3,14,15,19,26,33
942,2,10,11,13,22,37
943,11,13,22,29,31,33
944,10,16,22,30,35,36
945,4,14,16,22,28,33
946,3,13,14,18,28,30
947,8,11,13,20,22,25
948,1,6,10,22,24,26
949,8,12,17,21,27,30
950,8,12,21,24,25,27
951,1,10,16,28,29,32
952,4,6,13,19,33,35
953,4,11,19,28,31,34
954,11,24,30,34,35,37
955,1,7,11,17,36,37
956,4,8,17,20,25,30
957,3,8,10,15,30,33
958,4,13,22,25,28,30
959,9,20,22,23,29,31
960,1,2,5,12,34,35
961,4,5,18,20,28,36
962,7,9,20,24,28,35
963,6,12,25,27,30,37
964,9,12,25,29,34,36
965,2,9,27,29,32,36
966,5,7,10,15,22,35
967,3,20,28,31,33,37
968,1,2,9,11,15,21
969,2,10,14,17,28,34
970,2,9,13,16,28,29
971,4,6,10,11,14,25
972,1,3,29,30,33,35
973,4,8,9,23,25,31
974,3,11,18,25,33,36
975,7,16,18,21,23,36
976,2,19,28,29,34,36
977,1,2,5,15,27,31
978,12,15,20,30,33,37
979,2,5,6,10,19,29
980,5,7,9,11,24,29
